eco_code,name
D82,"Grunfeld, 4.Bf4 (D82)"
A32,"English, Symmetrical Variation (A32)"
A34,"English, Symmetrical (A34)"
B06,Robatsch (B06)
B03,Alekhine's Defense (B03)
B08,"Pirc, Classical (B08)"
D41,"Queen's Gambit Declined, Semi-Tarrasch (D41)"
B18,"Caro-Kann, Classical (B18)"
B17,"Caro-Kann, Steinitz Variation (B17)"
C00,French Defense (C00)
C01,"French, Exchange (C01)"
C02,"French, Advance (C02)"
C07,"French, Tarrasch (C07)"
C09,"French, Tarrasch, Open Variation, Main line (C09)"
C05,"French, Tarrasch (C05)"
C34,King's Gambit Accepted (C34)
C36,"King's Gambit Accepted, Abbazia Defense (C36)"
C39,King's Gambit Accepted (C39)
C43,"Petrov, Modern Attack (C43)"
C42,Petrov Defense (C42)
C53,Giuoco Piano (C53)
C90,"Ruy Lopez, Closed (C90)"
C93,"Ruy Lopez, Closed, Smyslov Defense (C93)"
C92,"Ruy Lopez, Closed (C92)"
C78,Ruy Lopez (C78)
B22,"Sicilian, Alapin (B22)"
B28,"Sicilian, O'Kelly Variation (B28)"
B40,Sicilian (B40)
B42,"Sicilian, Kan (B42)"
B43,"Sicilian, Kan, 5.Nc3 (B43)"
B49,"Sicilian, Taimanov Variation (B49)"
B31,"Sicilian, Rossolimo Variation (B31)"
B33,Sicilian (B33)
B76,"Sicilian, Dragon, Yugoslav Attack (B76)"
B80,"Sicilian, Scheveningen (B80)"
B84,"Sicilian, Scheveningen (B84)"
B85,"Sicilian, Scheveningen, Classical (B85)"
B57,Sicilian (B57)
B90,"Sicilian, Najdorf (B90)"
B92,"Sicilian, Najdorf, Opocensky Variation (B92)"
A84,Dutch (A84)
D02,Queen's Pawn Game (D02)
D07,"Queen's Gambit Declined, Chigorin Defense (D07)"
D31,Queen's Gambit Declined (D31)
D19,"Queen's Gambit Declined Slav, Dutch (D19)"
D32,"Queen's Gambit Declined, Tarrasch (D32)"
D37,Queen's Gambit Declined (D37)
D45,Queen's Gambit Declined Semi-Slav (D45)
D46,Queen's Gambit Declined Semi-Slav (D46)
A46,Queen's Pawn Game (A46)
A56,Benoni Defense (A56)
E08,"Catalan, Closed (E08)"
E11,Bogo-Indian Defense (E11)
E14,Queen's Indian (E14)
E15,Queen's Indian (E15)
E16,Queen's Indian (E16)
E18,"Queen's Indian, Old Main line, 7.Nc3 (E18)"
E54,"Nimzo-Indian, 4.e3, Gligoric System (E54)"
E61,King's Indian (E61)
E97,King's Indian (E97)
A50,Queen's Pawn Game (A50)
B66,"Sicilian, Richter-Rauzer Attack, 7...a6 (B66)"
A42,"Modern Defense, Averbakh System (A42)"
